iter	RMSE
0	313890.068
1	304879.9778
2	296521.8545
3	288850.6335
4	281667.2522
5	274222.5292
6	267237.1432
7	260593.3192
8	253929.6283
9	247671.9105
10	241853.0862
11	236175.2948
12	230647.9588
13	225524.9204
14	220755.5839
15	215921.9446
16	211629.4087
17	207125.777
18	202863.592
19	198978.4186
20	195134.0579
21	191721.2277
22	188319.4324
23	185526.303
24	182327.9219
25	179150.7026
26	176312.3866
27	173503.7468
28	171044.0585
29	168459.7118
30	166059.7614
31	163615.8399
32	161600.467
33	159539.4795
34	157370.5529
35	155237.4913
36	153260.1093
37	151499.2625
38	149667.2623
39	147881.346
40	146298.6823
41	144535.646
42	142809.5761
43	141273.7839
44	139982.3116
45	138522.7103
46	137308.7248
47	136157.9055
48	134840.2461
49	133516.4194
50	132429.2745
51	131499.5052
52	130260.1918
53	129215.9768
54	128378.0469
55	127468.6182
56	126607.8142
57	125787.1778
58	124910.9641
59	124103.3288
60	123357.6404
61	122594.1544
62	121954.4144
63	121175.5027
64	120536.3002
65	119871.5092
66	119152.7442
67	118464.8512
68	117978.4721
69	117324.0732
70	116720.1074
71	116086.711
72	115478.1014
73	114782.8997
74	114243.2421
75	113494.1855
76	113039.14
77	112585.2844
78	111907.1951
79	111465.9127
80	110984.1293
81	110567.7725
82	110157.4779
83	109711.2446
84	109206.7933
85	108777.6671
86	108410.3801
87	107899.9957
88	107632.3995
89	107136.818
90	106669.9962
91	106300.4781
92	105921.3377
93	105466.7282
94	105113.1576
95	104782.5196
96	104432.7636
97	104030.8449
98	103659.2043
99	103361.9888
100	102986.5792
101	102665.6369
102	102375.8773
103	102113.8562
104	101880.2493
105	101654.504
106	101365.6171
107	101166.7365
108	100907.9768
109	100611.1896
110	100310.9052
111	100019.6285
112	99802.32469
113	99613.39864
114	99303.7857
115	99118.46593
116	98926.90998
117	98698.66615
118	98433.99652
119	98196.66952
120	97927.5051
121	97752.32262
122	97542.37662
123	97296.68458
124	97067.74903
