iter	Passed	Remaining
0	0	654
1	1	534
2	1	555
3	2	546
4	2	541
5	3	525
6	3	518
7	4	508
8	4	510
9	5	515
10	5	507
11	6	501
12	6	498
13	7	496
14	7	493
15	8	492
16	8	486
17	8	488
18	9	487
19	9	483
20	10	479
21	10	480
22	11	479
23	11	476
24	12	477
25	12	474
26	13	473
27	13	473
28	14	477
29	14	473
30	15	473
31	15	472
32	16	472
33	16	470
34	17	470
35	17	470
36	17	467
37	18	465
38	18	465
39	19	464
40	19	463
41	20	462
42	20	462
43	21	460
44	21	459
45	22	457
46	22	455
47	22	453
48	23	451
49	23	450
50	24	449
51	24	448
52	24	445
53	25	443
54	25	441
55	26	440
56	26	438
57	26	438
58	27	436
59	27	434
60	28	433
61	28	431
62	28	430
63	29	428
64	29	427
65	30	425
66	30	425
67	30	423
68	31	422
69	31	420
70	32	420
71	32	420
72	32	418
73	33	418
74	33	418
75	34	419
76	35	423
77	35	423
78	36	421
79	36	420
80	36	419
81	37	419
82	37	418
83	38	416
84	38	418
85	39	418
86	39	417
87	40	416
88	40	415
89	41	415
90	41	414
91	41	413
92	42	412
93	42	410
94	43	410
95	43	409
96	43	407
97	44	406
98	44	406
99	45	405
100	45	404
101	45	403
102	46	402
103	46	402
104	47	401
105	47	400
106	47	399
107	48	398
108	48	398
109	49	397
110	49	396
111	50	397
112	50	396
113	50	396
114	51	395
115	51	394
116	52	394
117	52	393
118	53	392
119	53	392
120	53	391
121	54	390
122	54	389
123	55	388
124	55	388
125	55	387
126	56	386
127	56	386
128	57	385
129	57	384
130	57	384
131	58	382
132	58	381
133	58	380
134	59	380
135	59	379
136	60	378
137	60	378
138	60	377
139	61	376
140	61	376
141	62	375
142	62	375
143	62	374
144	63	373
145	63	373
146	64	372
147	64	372
148	65	371
149	65	370
150	65	370
151	66	369
152	66	368
153	66	368
154	67	367
155	67	366
156	68	365
157	68	365
158	68	364
159	69	364
160	69	363
161	70	362
162	70	362
163	71	362
164	71	362
165	71	361
166	72	361
167	72	360
168	73	360
169	73	359
170	74	359
171	74	358
172	74	358
173	75	357
174	75	357
175	76	357
176	76	356
177	77	356
178	77	355
179	77	355
180	78	354
181	78	353
182	79	353
183	79	352
184	79	350
185	80	350
186	80	349
187	80	349
188	81	349
189	81	348
190	82	347
191	82	347
192	82	346
193	83	346
194	83	345
195	84	345
196	84	344
197	84	343
198	85	343
199	85	342
200	86	342
201	86	341
202	86	340
203	87	340
204	87	339
205	88	339
206	88	338
207	88	338
208	89	337
209	89	337
210	90	337
211	90	336
212	91	336
213	91	335
214	91	335
215	92	334
216	92	334
217	93	333
218	93	333
219	93	332
220	94	332
221	94	331
222	95	331
223	95	330
224	95	330
225	96	329
226	96	328
227	97	328
228	97	327
229	97	327
230	98	327
231	98	326
232	99	326
233	99	325
234	99	325
235	100	324
236	100	324
237	101	323
238	101	322
239	101	322
240	102	321
241	102	321
242	102	320
243	103	320
244	103	319
245	104	319
246	104	319
247	105	318
248	105	318
249	106	318
250	106	318
251	107	318
252	107	318
253	108	317
254	108	316
255	109	316
256	109	316
257	109	316
258	110	315
259	110	315
260	111	314
261	111	314
262	111	313
263	112	312
264	112	312
265	112	311
266	113	311
267	113	310
268	114	310
269	114	310
270	115	310
271	115	309
272	116	308
273	116	308
274	116	308
275	117	307
276	117	307
277	118	306
278	118	306
279	118	305
280	119	305
281	119	304
282	119	303
283	120	303
284	120	302
285	120	301
286	121	301
287	121	300
288	122	300
289	122	300
290	123	299
291	123	299
292	123	298
293	124	298
294	124	298
295	125	297
296	125	297
297	126	297
298	126	297
299	127	296
300	127	296
301	127	295
302	128	295
303	128	294
304	129	294
305	129	294
306	130	293
307	130	293
308	130	292
309	131	292
310	131	292
311	132	291
312	132	291
313	133	290
314	133	290
315	134	290
316	134	289
317	134	289
318	135	288
319	135	288
320	135	287
321	136	287
322	136	286
323	137	286
324	137	285
325	137	285
326	138	284
327	138	284
328	139	283
329	139	283
330	140	283
331	140	282
332	140	282
333	141	281
334	141	281
335	142	281
336	142	280
337	143	280
338	143	279
339	143	279
340	144	279
341	144	278
342	145	278
343	145	277
344	145	277
345	146	276
346	146	276
347	147	275
348	147	275
349	147	274
350	148	274
351	148	273
352	149	273
353	149	272
354	150	272
355	150	272
356	151	272
357	151	272
358	152	272
359	153	272
360	153	271
361	154	271
362	154	271
363	155	271
364	155	270
365	156	270
366	156	270
367	157	269
368	157	269
369	158	269
370	158	268
371	159	268
372	159	268
373	159	267
374	160	267
375	160	266
376	161	266
377	161	265
378	161	265
379	162	264
380	162	264
381	163	264
382	163	263
383	164	263
384	164	262
385	164	262
386	165	261
387	165	261
388	166	260
389	166	260
390	166	260
391	167	259
392	167	259
393	168	258
394	168	258
395	169	257
396	169	257
397	169	256
398	170	256
399	170	255
400	170	255
401	171	254
402	171	254
403	172	254
404	172	253
405	173	253
406	173	252
407	174	252
408	174	252
409	175	252
410	175	251
411	175	251
412	176	251
413	177	251
414	177	250
415	178	250
416	178	250
417	179	249
418	179	249
